date,clock_in,clock_out,break,sum
2025/7/1,2025/7/1 9:00,2025/7/1 19:00,2:00,8:00
2025/7/2,2025/7/2 9:00,2025/7/2 19:00,2:00,8:00
2025/7/3,2025/7/3 9:00,2025/7/3 19:00,2:00,8:00
2025/7/4,2025/7/4 9:00,2025/7/4 19:00,2:00,8:00
2025/7/5,2025/7/5 9:00,2025/7/5 19:00,2:00,8:00
2025/7/6,2025/7/6 9:00,2025/7/6 19:00,2:00,8:00
2025/7/7,2025/7/7 9:00,2025/7/7 19:00,2:00,8:00
2025/7/8,2025/7/8 9:00,2025/7/8 19:00,2:00,8:00
2025/7/9,2025/7/9 9:00,2025/7/9 19:00,2:00,8:00
2025/7/10,2025/7/10 9:00,2025/7/10 19:00,2:00,8:00
2025/7/11,2025/7/11 9:00,2025/7/11 19:00,2:00,8:00
2025/7/12,2025/7/12 9:00,2025/7/12 19:00,2:00,8:00
2025/7/13,2025/7/13 9:00,2025/7/13 19:00,2:00,8:00
2025/7/14,2025/7/14 9:00,2025/7/14 19:00,2:00,8:00
2025/7/15,2025/7/15 9:00,2025/7/15 19:00,2:00,8:00
2025/7/16,2025/7/16 9:00,2025/7/16 19:00,2:00,8:00
2025/7/18,2025/7/18 22:16,2025/7/18 22:36,0:00,0:20
2025/7/19,2025/7/19 15:29,2025/7/19 17:25,0:31,1:25
2025/7/21,2025/7/21 9:00,2025/7/21 19:00,2:00,8:00
2025/7/22,2025/7/22 12:36,2025/7/22 17:27,0:00,4:51
2025/7/23,2025/7/23 14:31,2025/7/24 2:35,0:00,12:03
2025/7/24,2025/7/24 8:00,2025/7/25 3:00,0:00,19:00
2025/7/25,2025/7/25 16:09,2025/7/25 23:09,0:55,6:03
2025/7/26,2025/7/26 12:12,2025/7/27 17:14,2:02,2:59
2025/7/27,2025/7/27 19:23,2025/7/27 22:05,2:31,0:09
2025/7/28,2025/7/28 21:37,2025/7/29 13:54,0:00,16:17
2025/7/29,,,0:00,0:00
